AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
4.933154,-2.9460795,-0.5215621,0.22678372,-1.2907583,-0.30917418,AGGRESSIVE,3582366,1
2.3970966,2.6750638,-3.0067048,0.014202617,0.009162978,0.054901514,AGGRESSIVE,3582366,1
-0.14744043,0.042525113,0.12718773,0.017256944,-0.0030543262,0.07506007,AGGRESSIVE,3582367,1
0.08691335,0.36009634,0.52054214,0.066737026,-0.007941248,0.16607898,AGGRESSIVE,3582367,1
-1.1222702,1.0588378,1.1569757,0.088728175,0.0,0.38171443,AGGRESSIVE,3582368,1
-2.3459933,1.8451544,-0.35708904,0.19501872,-0.14905111,0.5209917,AGGRESSIVE,3582368,1
-2.3490958,-0.3117493,0.4684677,0.071013086,0.04520403,0.39209914,AGGRESSIVE,3582369,1
-0.80549514,0.9258895,-0.7268076,-0.010842858,-0.100792766,0.098883815,AGGRESSIVE,3582370,1
-1.3858209,-1.4002728,2.3459988,0.04230242,-0.22235495,-0.01656972,AGGRESSIVE,3582370,1
0.4490471,1.1195741,1.0929928,0.025809057,0.0030543262,-0.14301883,AGGRESSIVE,3582371,1
1.3141806,-0.4459901,0.67918015,-0.02977968,0.04886922,-0.13385585,AGGRESSIVE,3582371,1
0.34996748,-0.27857393,-0.3148222,0.07284568,0.014660766,-0.06299548,AGGRESSIVE,3582372,1
0.4279709,-1.3410674,0.23682213,-0.031612277,-0.017104227,-0.025732698,AGGRESSIVE,3582372,1
-0.5127404,-0.96300614,0.5778246,-0.055436023,-0.064751714,0.010919216,AGGRESSIVE,3582373,1
-0.69294643,-1.2386423,-0.025651932,0.061239243,-0.073303826,0.09277516,AGGRESSIVE,3582373,1
-0.03834319,0.6300885,0.16882133,0.016035212,-0.10140363,0.123929285,AGGRESSIVE,3582374,1
0.9135362,0.26838923,0.3909006,0.034972034,0.025045475,0.061621033,AGGRESSIVE,3582374,1
0.3537147,-0.20214415,-0.24418926,-0.0047342055,0.0842994,0.10987939,AGGRESSIVE,3582375,1
0.09150833,-1.2763027,-0.51745224,0.056963183,0.04153884,0.11293371,AGGRESSIVE,3582375,1
1.053682,-0.18578833,1.6390381,0.016035212,0.0012217305,0.14469871,AGGRESSIVE,3582376,1
-0.68784297,-0.25782818,1.4398193,0.046578474,0.06352998,0.17524196,AGGRESSIVE,3582377,1
-0.73779047,0.6672817,0.25414371,0.017256944,-0.019547688,0.15813774,AGGRESSIVE,3582377,1
-0.05156353,1.1686883,-0.023550034,0.060628377,0.014660766,0.18562667,AGGRESSIVE,3582378,1
-0.8580096,0.3717894,-0.9527216,0.00992656,-0.058643065,0.17096591,AGGRESSIVE,3582378,1
-0.7279693,-0.8975422,0.44747257,0.08017606,-0.03176499,0.12942708,AGGRESSIVE,3582379,1
-1.423011,-1.219429,-0.88558006,-0.01817324,-0.061086524,0.10682506,AGGRESSIVE,3582379,1
0.1896205,0.11408794,0.008388519,-0.32238412,-0.6603453,0.12331842,AGGRESSIVE,3582380,1
