AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
0.75819385,-0.2177906,0.45726347,0.0,0.0,0.0,AGGRESSIVE,818922,1
0.6675599,-0.03861046,0.23141575,-0.054367006,-0.0077121737,0.22525656,AGGRESSIVE,818923,1
2.7244492,-7.5841208,2.390926,0.023823744,0.01366811,-0.038026363,AGGRESSIVE,818923,1
2.33095,-7.6217537,2.5290236,0.05681047,-0.18058704,-0.05207626,AGGRESSIVE,818924,1
2.8472152,-6.7556214,2.22464,-0.03176499,-0.03520111,0.035277467,AGGRESSIVE,818924,1
0.44222856,-1.6468334,0.06529236,-0.01038471,-0.024205536,0.0010690142,AGGRESSIVE,818925,1
0.2383908,0.029413342,0.33282852,0.0012217305,-0.015042556,0.023060163,AGGRESSIVE,818925,1
0.0434494,0.22891134,0.35466862,0.070249505,0.050320026,0.07742717,AGGRESSIVE,818926,1
-0.095363855,-0.027441323,-0.039779663,0.040927973,-0.010155635,0.1366811,AGGRESSIVE,818926,1
0.27051997,-0.07373035,0.0030345917,0.0036651916,-0.0077121737,0.2576324,AGGRESSIVE,818927,1
0.5129715,0.1584896,0.2572117,0.040927973,-0.005879578,0.33215797,AGGRESSIVE,818927,1
0.3643882,0.23400217,-0.8731127,0.09040806,0.052763484,0.41218132,AGGRESSIVE,818928,1
-0.9127637,-0.3456328,0.83376026,0.0580322,-0.02603813,0.3669773,AGGRESSIVE,818929,1
0.030257344,0.041704893,0.77029896,0.06291912,-0.022983804,0.19837849,AGGRESSIVE,818929,1
-0.31680942,2.2246227,1.0167103,-0.04337143,0.07047858,0.09636399,AGGRESSIVE,818930,1
-0.5736394,1.895479,0.25301552,0.002443461,0.019165898,0.00045814895,AGGRESSIVE,818930,1
-0.28935122,-0.04953766,-1.1415176,-0.04153884,-0.048640147,-0.06429356,AGGRESSIVE,818931,1
0.009707689,-2.3025599,-1.537632,-0.03176499,-0.10667235,-0.06734789,AGGRESSIVE,818931,1
0.102754354,2.4496293,-0.08904934,0.019547688,0.00022907447,-0.08628472,AGGRESSIVE,818932,1
0.32079172,0.3934636,0.31927872,-0.02443461,-0.0016035213,-0.059406646,AGGRESSIVE,818932,1
-0.27107072,0.3166343,-0.23188591,-0.0,0.023441954,0.0096211275,AGGRESSIVE,818933,1
0.57089114,0.9929113,0.02962017,0.02687807,-0.029703323,0.035888333,AGGRESSIVE,818933,1
-0.29090226,-0.60320604,-0.59682846,0.04642576,-0.025427265,0.018784106,AGGRESSIVE,818934,1
-0.3893243,-0.072393,0.15493965,0.009162978,-0.0046578473,0.02611449,AGGRESSIVE,818934,1
-0.18269825,0.5305991,0.08667374,-0.027488936,-0.025427265,-0.04841107,AGGRESSIVE,818935,1
0.87477255,-0.18502605,-0.07058811,-0.004276057,0.07231117,-0.04841107,AGGRESSIVE,818936,1
-0.43971384,0.46315426,-0.66686726,0.004886922,-0.011377365,-0.023365596,AGGRESSIVE,818936,1
0.18210125,-0.16286528,-0.16554546,0.01160644,0.03810272,-0.021533,AGGRESSIVE,818937,1
-0.37785566,0.023731947,0.8001833,0.004886922,0.022220224,-0.0025961774,AGGRESSIVE,818937,1
0.26729798,-0.83977634,-0.38885117,-0.014660766,0.03443753,-0.025198191,AGGRESSIVE,818938,1
-0.74608386,-1.1472193,0.007487297,-0.007941248,0.0008399397,-0.023365596,AGGRESSIVE,818938,1
0.05382228,0.4766457,-0.056230545,-0.02076942,0.0008399397,-0.030695979,AGGRESSIVE,818939,1
0.14207172,-0.64231193,0.6090803,-0.0,0.02649628,-0.027641652,AGGRESSIVE,818939,1
0.029505014,0.10766506,0.49456882,0.004886922,0.016111571,-0.00870483,AGGRESSIVE,818940,1
0.010455728,0.19506311,0.7586765,-0.018325957,-0.014431692,0.01695151,AGGRESSIVE,818940,1
-0.10675931,0.46166867,-0.20333004,0.023823744,0.008781188,0.0022907446,AGGRESSIVE,818941,1
-0.33768082,-0.35907316,-0.58811665,-0.01038471,0.0032834008,0.012064588,AGGRESSIVE,818942,1
-0.4406935,-0.6665633,0.2986803,0.03726278,0.0075594573,-0.004428773,AGGRESSIVE,818942,1
1.1014359,0.7269268,0.057224274,0.012217305,-0.017486017,-0.012370021,AGGRESSIVE,818943,1
0.24783754,0.09656301,0.45060062,0.017715093,-0.010155635,-0.018478673,AGGRESSIVE,818943,1
0.06939864,-0.0015867352,0.041068077,-0.005497787,-0.0077121737,-0.019700404,AGGRESSIVE,818944,1
-0.26347494,0.529738,-0.28295517,-0.004886922,-0.014431692,-0.042913284,AGGRESSIVE,818944,1
0.6024556,1.0922241,0.22054768,-0.034208454,0.024663685,-0.025809057,AGGRESSIVE,818945,1
