AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
-0.2942939,0.25657845,0.4090858,-0.20979148,-0.018611027,0.037670024,1
-0.31581384,-0.7055044,1.7733722,-0.28187358,-0.002728531,0.02667445,1
0.43922776,0.0869112,1.2333634,-0.2940909,-0.055262942,0.054774247,1
-0.7078148,0.45998192,-1.3745681,-0.02042326,-0.019832758,0.03950262,1
-0.6380087,0.22963333,-0.056025267,-0.14320718,0.003380121,-0.003257949,1
-0.35563993,0.778594,0.021299362,-0.022255857,-0.019221893,-0.019140445,1
-0.18586978,0.4401722,-0.3139964,-0.052188255,0.013153965,-0.030136019,1
-0.037882715,0.30160618,0.06405836,-0.000876,0.02292781,-0.02097304,1
-0.38101533,0.258811,0.9209102,0.004011349,0.009488774,-0.034412075,1
-0.3244424,0.43394375,0.7312743,-0.021034125,0.036366843,-0.01975131,1
0.13121083,0.025680542,0.33468497,0.040663265,-0.006393723,-0.020362174,1
0.57545364,-0.45058155,0.10176117,0.0400524,-0.012502376,0.013235413,1
0.14919907,0.024698257,0.28524846,-0.019201532,-0.012502376,0.020565797,1
0.12493776,-0.119565964,-0.33067337,-0.001486438,-0.013724105,-0.006312273,1
0.07469474,-0.7800236,-0.23248306,0.00645481,-0.06809111,0.08348492,1
0.44781446,0.39657402,-2.0576222,-0.08089892,-0.025330545,0.052941658,1
-0.9862334,1.0465736,-1.329802,-0.120605156,0.019873483,-0.005701408,1
-1.0784863,0.83921146,-3.4703307,0.106025845,0.032090787,-0.04662938,1
-0.83688426,1.2806988,-1.6761377,-0.014314608,0.017430022,-0.024638232,1
0.3757441,0.15938282,-0.354841,0.13656911,0.006434447,-0.0673988,1
-0.23725949,1.38869,-0.9921354,0.06998479,0.06263405,-0.037466403,1
-0.32907882,0.3896227,-1.3502597,0.098695464,0.043697227,-0.021583905,1
0.6386472,1.1370354,-0.40275073,0.061432682,0.09439904,-0.027081693,1
0.5862486,0.20342922,-0.91187227,0.057767488,0.066299245,-0.021583905,1
0.45549846,0.32389355,-0.24877965,0.025391633,-0.01311324,-0.00447968,1
-0.018758923,0.27219677,-0.23580265,0.018672116,-0.007004588,-0.024638232,1
-0.07003552,0.7851782,0.6043781,0.02844596,0.03514511,0.014457144,1
0.12392521,0.0471735,0.12204695,0.002178754,-0.010058914,0.013235413,1
-0.1607875,0.30817795,0.7449889,-0.093116224,-0.028384872,0.052330792,1
-0.62401146,0.5227823,0.47010875,-0.081509784,-0.011280645,0.029728778,1
-1.2775047,1.5381365,0.3616922,-0.14687236,-0.03754785,0.048054732,1
-0.4336467,0.8055134,1.5675124,0.0522697,0.011932234,-0.059457548,1
-0.9881276,1.1010904,-0.34462592,0.13595824,0.029647326,-0.058846686,1
-0.2832165,-0.06363487,-0.6308219,0.20315342,-0.025330545,-0.014253523,1
0.6546302,-3.758194,1.7200878,-0.016147204,-0.107797354,0.073711075,1
0.40799072,-2.27533,1.4606857,-0.09983574,-0.09985611,0.099978276,1
1.6858715,-2.6074162,3.3599772,-0.65389055,-0.14872533,0.20871228,1
-0.18114844,0.7866783,-0.7177502,-0.41565308,-0.12306898,0.06882415,1
-1.545813,1.1918631,-2.7237768,-0.3362406,-0.01189151,0.060272038,1
-1.8349216,1.5313225,-1.3673568,-0.1041118,-0.058928132,0.047443867,1
-0.5945228,0.78952026,-2.2710826,0.055934895,-0.014945837,0.004072435,1
0.76861036,0.50696373,-1.6975013,0.06570874,-0.011280645,-0.022194771,1
0.5509205,0.78485775,0.5569664,0.16772324,0.002158391,-0.033190347,1
