AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
-0.13882014,-0.22713566,1.0849217,-0.060129505,-0.02471968,0.019344065,0
-0.117608435,-0.04599476,0.1272218,-0.058296908,-0.002117666,0.02789618,0
0.6169851,0.061223984,-0.006895006,-0.02958624,-0.016167566,-0.00447968,0
-0.8210472,0.54238987,0.18997431,0.050437108,-0.018000163,-0.021583905,0
-0.94578624,0.06805515,0.081526786,-0.0619621,0.015597426,-0.027692558,0
-0.3334237,0.39230537,-0.2405337,-0.013703742,-0.002728531,0.019954931,0
-0.08613324,0.4564829,-0.31812373,-0.010649418,0.007045313,-0.000814,0
-0.40760714,0.2069292,0.6925035,0.015006924,-0.007615454,0.03400483,0
-0.30068815,0.069387436,0.49194473,-0.06868161,0.038810305,-0.003868815,0
0.6557206,-0.015354157,-0.25261632,0.007065675,-0.007615454,0.008959357,0
-0.20948943,0.45014858,0.48955047,0.011952598,-0.014334971,0.023009256,0
-0.5022902,0.17467976,-0.019316673,-0.025310185,0.010710504,-0.005090542,0
-0.082405314,-0.27437687,-0.32388592,-0.022255857,0.02537127,-0.003257949,0
-0.21995384,-0.010374069,-1.0536791,0.050437108,0.002158391,0.021787524,0
-0.33883023,-0.011960983,0.6714725,-0.013703742,-0.016778432,0.019344065,0
0.22786096,0.028259277,-0.2931044,-0.028975375,0.026593,-0.020362174,0
0.1414163,0.023629189,-0.36457273,0.015006924,-0.017389297,0.0327831,0
-0.52374214,0.21128559,0.7093874,-0.03325143,0.025982136,-0.009366602,0
0.060397476,-0.018863678,-0.16109307,-0.027753644,0.02903646,-0.03807727,0
0.11695887,0.19912148,-0.5842191,-0.027753644,-0.003950262,0.000407,0
-0.06478037,0.23865128,0.45214522,0.038219802,0.016819157,-0.000204,0
-0.15392639,0.20563412,0.094724685,-0.00637336,0.036366843,-0.044185918,0
0.25052184,-0.056476593,0.10373044,0.012563462,-0.00944805,-0.00814487,0
-0.50631887,0.16960716,0.678233,0.00523308,-0.019832758,0.026063584,0
-0.020755492,0.023356438,0.52365035,-0.028975375,0.018651752,-0.009366602,0
0.3634066,0.23530674,0.17952067,-0.0179798,-0.019221893,0.028507046,0
-0.16187838,0.19536018,0.39601701,-0.052188255,0.006434447,-0.006923139,0
-0.16254063,0.23071861,-0.19645607,-0.043025274,-0.02471968,0.01628974,0
0.022286072,0.7112932,-1.5802474,0.039441533,0.000326,-0.005090542,0
0.21158493,0.37121582,-1.7210586,0.044328455,-0.010058914,0.015678875,0
0.21365926,0.37941074,-1.5111493,0.010730867,0.0125431,-0.027692558,0
-0.061505288,0.52263355,-0.22166705,-0.003319033,-0.011280645,0.007737625,0
-0.21791898,0.35832214,-0.13929802,-0.003319033,0.031479925,-0.03380121,0
0.3226437,0.06892967,-0.24607787,0.005843945,-0.019221893,0.011402819,0
-0.16163799,0.29178238,0.69192195,-0.011871147,0.008877909,-0.014864387,0
0.38035324,0.18480206,-0.45332012,-0.031418838,0.027814731,-0.033190347,0
0.3491761,-0.04903984,-0.44752923,0.046771914,-0.019832758,0.0187332,0
-0.46427155,0.05051613,0.45294836,-0.02958624,0.010710504,-0.011810061,0
0.28208792,-0.21277523,-0.068814605,-0.023477588,0.008267043,-0.007534005,0
0.22148499,-0.021731377,-0.051246792,-0.002097303,-0.033271793,0.024230987,0
-0.38937414,0.11633015,-0.5429232,0.047993645,-0.020443624,0.00712676,0
-0.24604338,0.08181667,0.10007134,-0.05157739,0.024149539,-0.013642658,0
0.3641798,0.23168945,-0.7111112,0.009509136,-0.03754785,0.00712676,0
-0.44198784,0.4819622,0.18508652,0.022948172,-0.021665353,0.03828089,0
0.07453182,0.007008553,-0.47717854,-0.014925473,0.007045313,-0.009977466,0
0.4755398,-0.122633934,-0.45553252,-0.007595091,0.021095213,-0.03502294,0
-0.22822264,0.10236931,-0.48839727,-0.006984226,-0.03632612,0.040724352,0
-0.19269013,0.18427181,1.1119565,0.031500284,-0.022887085,0.028507046,0
0.1315766,0.06382084,-0.56223524,-0.054020848,0.019873483,-0.009977466,0
0.45363122,0.05913639,-0.8077017,-0.01675807,-0.000896,-0.017918713,0
0.4575674,0.14178753,-0.73355633,0.034554612,-0.019221893,0.040724352,0
-0.3952879,0.43742943,0.61368835,0.03699807,-0.028995737,0.032172233,0
-0.47797805,0.4154501,0.6826935,0.000957,0.021706078,-0.039909862,0
0.45446607,-0.30404758,-0.47610942,0.008287406,0.004601852,-0.006312273,0
