AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
-0.5206009,0.33035374,-0.33034027,0.03931936,-0.011748976,0.021034118,0
-0.43976521,0.4718666,0.13158655,0.008776098,0.019405153,0.01797979,0
0.0880287,0.37648773,-0.2623699,-0.01077159,-0.035572723,-0.03944154,0
0.3778883,0.32710266,-1.1163926,0.007554367,0.009631308,-0.052880578,0
1.9754244,0.11314392,-0.77330863,-0.019323703,-0.034961857,-0.03455462,0
1.0897927,0.38512993,0.55893433,-0.06880379,0.0132965,-0.062043555,0
1.5999796,-0.16473198,-1.4823493,0.06253224,-0.027020607,0.054631706,0
0.87890047,0.82668495,-3.6554596,0.103460215,0.05422447,-0.040052406,0
1.6881481,0.14902401,-2.1895618,-0.23679173,-0.014192437,-0.13229306,0
-0.22908755,-0.32417488,-2.095252,0.11445579,0.09637418,0.035694886,0
-0.5013431,-0.58643436,1.7470927,0.21219423,0.03528765,-0.080980375,0
0.036781013,-0.20805931,-0.66916955,-0.07613417,0.013907365,-0.048604522,0
-0.3381881,-0.16010666,1.2858237,0.22807673,0.035898514,-0.051658846,0
0.42941943,0.7605667,0.31370687,-0.06391686,-0.040459644,-0.12557355,0
0.24415174,0.52625656,0.89110124,-0.06025168,-0.030074935,-0.06998481,0
1.1118987,-0.25657845,1.299741,-0.012604185,-0.012970706,0.010038544,0
0.21552475,-0.43892193,0.3138829,-0.056586485,-0.003196862,-0.062043555,0
-0.3343035,-0.15287304,0.82155,-0.124392524,-0.024577145,-0.021115584,0
-0.103380434,0.44619465,-0.29700363,-0.08102109,0.01573996,-0.026613371,0
0.22566071,0.6760311,-0.95468104,0.053980123,0.020016018,-0.004622225,0
0.15924689,0.80687237,-0.7277311,0.03259984,-0.04840089,-0.011341739,0
0.12561381,0.6542864,-1.3231943,0.014884749,-0.03312926,-0.010120012,0
0.1508305,0.5389414,-0.9585113,0.080247335,0.004744386,0.007595081,0
-0.3949816,0.21803093,-0.74605244,0.10284935,0.005355252,0.015536327,0
0.29727212,0.14774132,0.47837913,-0.015047648,0.04506149,-0.054713175,0
0.13396403,-0.123705864,1.3648746,-0.008938995,0.025513805,-0.07426086,0
0.030436292,-0.23119259,0.52756536,-0.032151874,-0.07222463,0.028975364,0
0.074457005,0.12736893,0.0449467,-0.03948226,-0.015414166,0.013092868,0
1.071896,0.58135223,-0.039026886,-0.041925717,-0.022133686,0.06135122,0
0.76949644,0.37071228,-0.7813278,-0.003441208,-0.00869465,0.011871137,0
0.86475295,0.47356224,-0.64641225,0.06253224,-0.035572723,0.04546873,0
0.41337883,-0.05736828,-0.47617245,0.068640895,-0.03435099,0.021644983,0
0.19858061,0.77374554,0.3866823,0.04542801,-0.023966279,0.007595081,0
0.61731094,-0.51607513,-1.0004728,0.097962424,-0.02152282,0.00637335,0
1.8682609,-0.057629585,0.79011345,0.038708493,-0.044124834,0.005151622,0
1.033464,-0.2178688,0.4783824,0.01610648,-0.09055059,0.019812386,0
0.05867645,0.44358063,-0.012303054,-0.003441208,-0.0710029,0.031418826,0
-0.24732292,-0.19409084,-1.1677395,-0.010160725,-0.06122906,0.013703734,0
0.5979264,-0.000666,1.0402428,-0.002219477,-0.04107051,0.008816812,0
0.48082152,-0.08809376,0.45942268,-0.004052073,-0.004418593,-0.016839528,0
-0.033663563,0.5325718,0.43275958,0.04787147,-0.017246764,0.007595081,0
-0.7558156,0.2756443,-0.5719482,-0.008938995,-0.01235984,-0.000957,0
0.19106066,0.26581287,0.11370539,-0.010160725,-0.070392035,0.022866715,0
-0.76054287,0.33874607,0.7251548,0.099184155,-0.08016588,0.093116224,0
-0.98180556,-0.39156914,1.1695414,0.046649743,-0.0587856,0.04546873,0
-1.1430331,0.09478283,0.9901446,0.055201855,-0.034961857,0.02347758,0
0.19752377,-0.08283806,0.70830804,-0.004052073,-0.018468492,-0.022948181,0
0.2853542,0.003083229,-1.6393938,-0.037038796,-0.013581571,0.020423252,0
0.18680502,0.19154835,-1.7681277,-0.055364754,-0.04962262,0.04852305,0
0.57347065,0.47690582,-1.2528765,-0.027264953,-0.042292237,0.01797979,0
-0.077800594,0.33917713,0.21195062,-0.032151874,0.009631308,-0.021115584,0
0.016432285,-0.007805824,-0.7850328,-0.015658513,-0.05634214,0.008816812,0
0.4394012,1.0255613,0.22689304,0.027102053,-0.017857626,0.017368924,0
-0.04336444,0.14694309,1.7867494,0.06619743,-0.088718,0.017368924,0
-0.04971576,0.04383564,0.06945634,0.06986263,0.051170144,-0.010730878,0
